cluster,acousticness,danceability,energy,instrumentalness,liveness,speechiness,tempo,valence,duration_ms,loudness,mode,time_signature
0,0.1,0.73,0.82,0.03,0.16,0.07,118.84,0.77,215396.42,-5.45,0.54,3.99
1,0.1,0.47,0.79,0.04,0.18,0.08,164.51,0.51,231772.43,-6.04,0.61,3.94
2,0.7,0.55,0.36,0.05,0.16,0.06,116.41,0.37,228083.96,-11.75,0.66,3.84
3,0.21,0.71,0.67,0.01,0.17,0.31,92.55,0.56,207992.19,-6.78,0.48,3.98
4,0.08,0.56,0.75,0.03,0.19,0.06,110.02,0.35,241730.2,-6.18,0.56,3.98
5,0.09,0.71,0.6,0.74,0.13,0.06,119.54,0.35,398644.27,-10.52,0.47,3.96
6,0.07,0.61,0.81,0.77,0.17,0.06,126.88,0.43,233379.91,-7.58,0.57,3.95
7,0.79,0.29,0.19,0.76,0.13,0.04,103.31,0.14,236685.04,-19.25,0.59,3.67
8,0.22,0.75,0.56,0.03,0.13,0.07,115.56,0.63,218449.71,-9.05,0.57,3.98
9,0.18,0.63,0.75,0.07,0.65,0.12,120.07,0.58,231442.18,-6.72,0.59,3.99
10,0.87,0.25,0.17,0.71,0.13,0.05,107.52,0.11,891652.76,-19.22,0.59,3.69
11,0.23,0.75,0.62,0.01,0.17,0.34,147.04,0.56,193441.71,-7.72,0.53,4.05
