cluster,acousticness,danceability,energy,instrumentalness,liveness,speechiness,tempo,valence,duration_ms,loudness,mode,time_signature
0,0.62,0.43,0.35,0.83,0.13,0.04,114.14,0.23,230559.56,-14.48,0.55,3.86
1,0.11,0.73,0.59,0.05,0.12,0.06,119.89,0.78,244085.8,-11.24,0.62,4.0
2,0.59,0.72,0.56,0.03,0.15,0.07,113.27,0.68,206378.51,-8.33,0.58,3.95
3,0.07,0.73,0.79,0.73,0.14,0.06,126.17,0.65,222207.13,-7.76,0.62,3.99
4,0.05,0.51,0.86,0.03,0.17,0.07,106.83,0.42,230191.15,-5.18,0.58,3.99
5,0.29,0.77,0.68,0.01,0.19,0.33,144.76,0.74,189416.52,-6.94,0.51,4.04
6,0.18,0.7,0.68,0.0,0.17,0.32,92.51,0.57,205710.77,-6.43,0.48,4.0
7,0.07,0.72,0.61,0.78,0.12,0.06,120.46,0.33,407249.76,-10.31,0.44,3.96
8,0.5,0.49,0.44,0.04,0.15,0.05,158.96,0.39,237888.42,-10.3,0.68,3.77
9,0.09,0.73,0.84,0.03,0.11,0.06,120.98,0.79,213415.68,-5.2,0.54,3.99
10,0.09,0.63,0.81,0.08,0.69,0.13,122.66,0.6,234059.66,-5.89,0.58,3.99
11,0.12,0.73,0.62,0.01,0.16,0.3,149.36,0.4,198037.7,-7.15,0.55,4.04
12,0.87,0.26,0.17,0.74,0.13,0.05,107.67,0.11,901682.36,-18.62,0.57,3.68
13,0.11,0.58,0.81,0.02,0.16,0.09,166.57,0.76,210450.37,-5.77,0.63,3.98
14,0.81,0.53,0.26,0.03,0.14,0.06,106.59,0.31,225145.39,-13.49,0.68,3.88
15,0.26,0.53,0.53,0.03,0.18,0.05,92.9,0.34,243723.24,-8.79,0.64,3.91
16,0.1,0.57,0.7,0.09,0.16,0.05,122.0,0.38,368418.85,-7.96,0.54,3.97
17,0.39,0.72,0.47,0.03,0.16,0.49,124.44,0.45,193242.7,-11.0,0.53,3.98
18,0.52,0.57,0.5,0.07,0.68,0.09,112.96,0.49,239417.79,-10.73,0.64,3.99
19,0.14,0.79,0.68,0.01,0.12,0.1,98.64,0.67,215963.43,-5.89,0.5,3.99
20,0.87,0.23,0.1,0.76,0.13,0.04,95.26,0.11,243025.36,-23.52,0.66,3.49
21,0.04,0.5,0.82,0.78,0.19,0.06,126.38,0.24,255969.94,-7.24,0.52,3.93
22,0.09,0.69,0.83,0.03,0.35,0.07,119.76,0.71,215079.01,-5.6,0.56,4.0
23,0.05,0.39,0.84,0.04,0.2,0.08,162.87,0.37,235028.99,-5.61,0.59,3.94
24,0.1,0.73,0.64,0.02,0.16,0.08,127.3,0.33,201470.37,-6.69,0.5,3.99
