cluster,acousticness,danceability,energy,instrumentalness,liveness,speechiness,tempo,valence,duration_ms,loudness,mode,time_signature
0,0.05,0.53,0.86,0.04,0.23,0.06,113.65,0.47,238247.02,-5.36,1.0,4.0
1,0.08,0.53,0.77,0.04,0.19,0.06,106.67,0.36,253618.99,-6.2,0.0,4.0
2,0.11,0.48,0.8,0.03,0.17,0.08,168.01,0.55,221825.63,-5.97,1.0,4.0
3,0.34,0.65,0.44,0.8,0.14,0.06,113.79,0.39,259271.82,-13.65,0.58,4.02
4,0.3,0.72,0.57,0.03,0.14,0.06,112.27,0.74,223869.76,-9.9,1.0,4.0
5,0.16,0.78,0.59,0.02,0.14,0.09,115.88,0.52,209294.78,-7.83,0.0,4.0
6,0.11,0.74,0.81,0.03,0.17,0.07,116.97,0.78,218647.68,-5.69,0.0,4.0
7,0.82,0.26,0.16,0.67,0.13,0.05,107.63,0.13,816705.46,-19.98,0.57,3.76
8,0.78,0.52,0.3,0.04,0.16,0.06,110.81,0.33,222133.19,-12.82,0.9,4.03
9,0.5,0.4,0.37,0.32,0.17,0.1,106.02,0.33,211915.34,-14.28,0.48,0.97
10,0.2,0.78,0.62,0.02,0.18,0.32,145.32,0.54,195816.82,-7.54,1.0,4.0
11,0.19,0.63,0.75,0.06,0.68,0.12,120.48,0.59,232824.94,-6.85,0.6,3.99
12,0.14,0.51,0.72,0.18,0.21,0.12,129.52,0.45,237568.94,-6.73,0.58,3.0
13,0.07,0.72,0.62,0.73,0.12,0.06,121.65,0.34,429580.87,-9.84,0.41,3.98
14,0.1,0.75,0.81,0.03,0.14,0.08,118.59,0.76,213138.97,-5.39,1.0,4.0
15,0.21,0.7,0.66,0.0,0.17,0.34,90.64,0.56,204508.88,-6.85,0.46,3.98
16,0.63,0.61,0.44,0.03,0.15,0.07,116.39,0.45,229518.97,-10.32,0.0,4.0
17,0.25,0.76,0.61,0.01,0.16,0.36,149.09,0.57,188820.37,-8.03,0.0,3.99
18,0.21,0.6,0.68,0.01,0.19,0.31,120.67,0.55,204542.98,-6.61,0.49,5.0
19,0.84,0.26,0.16,0.82,0.12,0.04,100.45,0.12,237542.73,-20.28,0.6,3.8
20,0.08,0.51,0.79,0.04,0.19,0.09,161.14,0.48,232987.91,-6.11,0.0,4.0
21,0.14,0.65,0.6,0.02,0.16,0.06,113.99,0.31,238334.51,-7.78,1.0,4.0
22,0.66,0.45,0.34,0.14,0.17,0.06,126.93,0.32,224701.5,-11.5,0.72,3.0
23,0.05,0.62,0.82,0.77,0.17,0.06,127.8,0.39,249122.57,-7.43,0.0,4.0
24,0.05,0.63,0.82,0.76,0.16,0.06,126.05,0.46,244742.7,-7.4,1.0,4.0
