cluster,acousticness,danceability,energy,instrumentalness,liveness,speechiness,tempo,valence,duration_ms,loudness,mode,time_signature
0,0.12,0.61,0.8,0.01,0.13,0.08,165.89,0.79,205911.29,-5.65,0.65,3.97
1,0.56,0.51,0.46,0.07,0.74,0.07,112.66,0.36,261491.36,-11.42,0.64,3.96
2,0.13,0.52,0.61,0.03,0.14,0.04,95.21,0.29,252626.92,-7.89,0.6,3.95
3,0.05,0.7,0.84,0.77,0.13,0.06,125.15,0.22,234477.66,-7.36,0.52,3.98
4,0.07,0.66,0.76,0.04,0.13,0.04,126.4,0.78,246889.38,-9.7,0.57,3.99
5,0.13,0.76,0.57,0.01,0.15,0.28,142.0,0.36,192172.12,-7.7,0.55,4.05
6,0.91,0.23,0.03,0.8,0.09,0.05,87.19,0.1,323848.13,-30.38,0.68,3.35
7,0.89,0.25,0.16,0.79,0.13,0.04,105.63,0.13,192890.41,-19.02,0.6,3.62
8,0.12,0.83,0.64,0.02,0.14,0.23,97.76,0.5,195499.3,-7.03,0.51,3.99
9,0.04,0.45,0.87,0.07,0.69,0.1,141.19,0.44,250646.75,-5.78,0.7,3.94
10,0.03,0.34,0.88,0.03,0.19,0.08,168.71,0.43,237786.29,-5.35,0.58,3.93
11,0.07,0.71,0.62,0.79,0.12,0.05,123.34,0.19,446603.52,-10.08,0.42,3.96
12,0.84,0.46,0.24,0.04,0.13,0.05,135.31,0.22,233113.33,-14.14,0.65,3.89
13,0.3,0.81,0.65,0.01,0.17,0.31,140.28,0.73,182180.2,-7.41,0.53,4.02
14,0.83,0.66,0.26,0.03,0.15,0.08,104.85,0.52,197354.55,-14.83,0.7,3.93
15,0.14,0.76,0.43,0.78,0.14,0.08,111.05,0.48,276389.11,-13.97,0.58,3.97
16,0.05,0.76,0.69,0.77,0.1,0.06,118.51,0.61,390324.94,-8.67,0.46,3.98
17,0.02,0.45,0.92,0.03,0.16,0.09,112.62,0.31,226963.82,-4.65,0.56,3.97
18,0.24,0.74,0.74,0.0,0.12,0.29,94.76,0.76,225456.31,-5.43,0.46,4.01
19,0.93,0.14,0.12,0.66,0.18,0.04,76.79,0.06,1550122.0,-20.86,0.75,4.0
20,0.11,0.86,0.61,0.02,0.1,0.08,116.56,0.75,202526.86,-6.77,0.49,4.0
21,0.07,0.48,0.78,0.09,0.16,0.05,126.68,0.32,362596.0,-6.59,0.53,3.96
22,0.55,0.6,0.56,0.01,0.39,0.06,111.51,0.68,193932.22,-8.49,0.59,3.88
23,0.06,0.68,0.83,0.03,0.11,0.06,126.7,0.5,211769.68,-5.07,0.55,4.01
24,0.22,0.68,0.75,0.01,0.59,0.33,117.42,0.66,212989.74,-6.23,0.57,4.03
25,0.16,0.69,0.72,0.01,0.12,0.07,94.07,0.62,219067.28,-5.77,0.53,3.99
26,0.07,0.44,0.77,0.76,0.17,0.07,171.72,0.45,268394.01,-8.11,0.56,3.9
27,0.07,0.49,0.85,0.03,0.23,0.06,93.64,0.62,222840.17,-5.46,0.6,4.01
28,0.78,0.33,0.27,0.76,0.14,0.06,115.19,0.15,904373.33,-15.26,0.58,3.75
29,0.14,0.64,0.76,0.01,0.2,0.32,168.84,0.58,219899.82,-5.43,0.56,4.02
30,0.04,0.68,0.81,0.69,0.45,0.06,127.31,0.42,271441.31,-7.68,0.63,3.96
31,0.62,0.65,0.47,0.01,0.13,0.06,112.4,0.36,211904.5,-8.63,0.6,3.84
32,0.05,0.59,0.88,0.02,0.33,0.06,136.44,0.62,219511.95,-5.4,0.62,4.01
33,0.08,0.53,0.63,0.79,0.12,0.04,110.35,0.21,304906.74,-9.73,0.5,3.95
34,0.17,0.6,0.47,0.05,0.15,0.07,148.83,0.45,246607.24,-11.89,0.61,3.96
35,0.55,0.75,0.63,0.02,0.11,0.07,121.48,0.78,201043.76,-7.72,0.58,3.99
36,0.21,0.68,0.53,0.02,0.13,0.42,89.97,0.43,191185.07,-9.26,0.5,4.02
37,0.45,0.57,0.41,0.11,0.12,0.05,105.44,0.35,417583.04,-12.46,0.6,3.89
38,0.01,0.31,0.93,0.72,0.23,0.1,110.39,0.24,257232.84,-5.28,0.55,3.85
39,0.09,0.7,0.67,0.02,0.37,0.08,112.66,0.37,224439.0,-6.6,0.55,3.99
40,0.11,0.75,0.67,0.09,0.15,0.08,115.69,0.64,380389.27,-8.13,0.53,4.0
41,0.56,0.43,0.49,0.01,0.15,0.05,174.09,0.43,243416.27,-9.33,0.76,3.71
42,0.16,0.72,0.48,0.02,0.13,0.06,101.43,0.73,234288.08,-12.72,0.66,4.0
43,0.15,0.57,0.72,0.0,0.21,0.33,93.77,0.47,202458.54,-6.01,0.51,4.01
44,0.27,0.29,0.37,0.86,0.13,0.04,107.48,0.11,189533.69,-14.65,0.63,3.84
45,0.12,0.52,0.67,0.02,0.15,0.07,152.24,0.27,219262.04,-6.22,0.49,3.98
46,0.29,0.74,0.54,0.02,0.14,0.51,152.2,0.53,193214.82,-9.55,0.47,4.05
47,0.11,0.77,0.59,0.01,0.13,0.07,122.49,0.29,200209.62,-6.95,0.52,3.98
48,0.11,0.76,0.82,0.03,0.33,0.08,115.19,0.8,208795.16,-5.27,0.5,3.98
49,0.12,0.7,0.8,0.04,0.71,0.07,115.3,0.7,221410.77,-6.37,0.55,4.0
50,0.85,0.23,0.13,0.76,0.12,0.04,106.43,0.12,566420.93,-20.7,0.52,3.7
51,0.73,0.59,0.44,0.79,0.14,0.05,119.49,0.38,241307.65,-12.65,0.56,3.91
52,0.76,0.68,0.4,0.03,0.2,0.44,103.23,0.49,190947.31,-12.21,0.6,3.83
53,0.73,0.41,0.32,0.04,0.16,0.04,82.76,0.26,214563.95,-11.65,0.69,3.78
54,0.06,0.73,0.84,0.72,0.13,0.06,126.31,0.72,208445.33,-7.13,0.57,3.99
55,0.1,0.75,0.85,0.02,0.11,0.07,117.58,0.84,211407.83,-4.76,0.55,3.98
