id,acousticness,danceability,energy,instrumentalness,liveness,speechiness,tempo,valence,duration_ms,loudness,cluster
0ofHAoxe9vBkTCp2UQIavz,0.0644,0.828,0.492,0.00428,0.128,0.0276,120.151,0.789,257800,-9.744,24
2LawezPeJhN4AWuSB0GtAU,0.0664,0.741,0.697,2.28e-05,0.133,0.0277,116.109,0.774,160133,-7.028,41
2zYzyRzz6pRmhPzyfMEC8s,0.061,0.574,0.913,0.00158,0.156,0.133,115.728,0.423,208400,-4.793,23
0GjEhVFGZW8afUYGChu3Rr,0.358,0.543,0.87,0.000939,0.792,0.0428,100.804,0.754,230400,-6.514,38
1k1Bqnv2R0uJXQN4u6LKYt,0.457,0.527,0.415,1.72e-05,0.117,0.122,78.169,0.515,125093,-11.451,1
1xsYj84j7hUDDnTTerGWlH,0.397,0.392,0.476,0.000163,0.309,0.0249,78.031,0.234,267597,-7.583,1
07q0QVgO56EorrSGHC48y3,0.214,0.768,0.852,7.36e-05,0.0723,0.038,128.373,0.867,271240,-6.215,0
3gdewACMIVMEWVbyb8O9sY,0.432,0.601,0.532,6.25e-06,0.0925,0.0286,136.571,0.341,281613,-9.119,37
3EYOJ48Et32uATr9ZmLnAo,0.0384,0.618,0.748,4.1e-06,0.0473,0.358,134.114,0.663,191947,-8.905,43
5e9TFTbltYBg2xThimr0rU,0.009,0.545,0.67,0.000822,0.0451,0.0496,151.553,0.481,270213,-8.81,40
7e89621JPkKaeDSTQ3avtg,0.181,0.596,0.605,0.000331,0.0863,0.0255,97.798,0.886,283800,-12.145,24
3vkQ5DAB1qQMYO4Mr9zJN6,0.02,0.749,0.491,0.00899,0.159,0.0403,119.528,0.536,292613,-9.655,34
54eZmuggBFJbV7k248bTTt,0.686,0.654,0.506,0.0155,0.155,0.0535,123.179,0.831,252240,-17.18,35
1QEEqeFIZktqIpPI4jSVSF,0.00088,0.377,0.681,0.0023,0.0504,0.0298,108.789,0.285,285133,-8.039,2
4U45aEWtQhrm8A5mxPaFZ7,0.659,0.532,0.495,0.0,0.0754,0.0343,124.936,0.308,214240,-6.662,37
78lgmZwycJ3nzsdgmPPGNx,0.013,0.564,0.932,0.169,0.349,0.0554,112.937,0.619,146250,-10.068,6
2RlgNHKcydI9sayD2Df2xp,0.652,0.388,0.338,3.73e-06,0.248,0.0329,177.765,0.478,303373,-10.054,32
07GvNcU1WdyZJq3XxP0kZa,0.0185,0.583,0.947,0.00109,0.0679,0.0378,135.448,0.803,223613,-5.12,0
38zsOOcu31XbbYj9BIPUF1,0.828,0.554,0.315,5.53e-06,0.101,0.0298,128.157,0.325,241787,-11.028,32
4yugZvBYaoREkJKtbG08Qr,0.343,0.575,0.67,4.95e-06,0.129,0.0318,139.191,0.74,211578,-10.39,10
7mjSHL2Eb0kAwiKbvNNyD9,0.345,0.48,0.542,0.000609,0.113,0.0348,152.853,0.567,200560,-8.51,10
6zeE5tKyr8Nu882DQhhSQI,0.367,0.475,0.322,0.00056,0.11,0.0283,93.503,0.387,206267,-10.687,1
0bRXwKfigvpKZUurwqAlEh,0.292,0.692,0.651,0.00241,0.105,0.0324,97.923,0.706,254560,-8.267,16
7HW5WIw7ZgZORCzUxv5gW5,0.149,0.729,0.844,2.87e-06,0.0604,0.0344,131.459,0.777,275440,-8.824,0
4UDmDIqJIbrW0hMBQMFOsM,0.113,0.707,0.535,0.00615,0.0884,0.0436,103.644,0.641,92867,-19.793,24
5ihS6UUlyQAfmp48eSkxuQ,0.883,0.414,0.161,0.000223,0.117,0.0318,159.375,0.423,199493,-22.32,32
5CQ30WqJwcep0pYcV4AMNc,0.58,0.338,0.34,0.0032,0.116,0.0339,82.433,0.197,482830,-12.049,1
7iN1s7xHE4ifF5povM6A48,0.631,0.443,0.403,0.0,0.111,0.0322,143.462,0.41,243027,-8.339,37
0pQskrTITgmCMyr85tb9qq,0.166,0.486,0.449,2.23e-06,0.54,0.0267,100.456,0.549,254293,-10.298,11
3Vby4nGmtbDo7HDJamOWkT,0.0936,0.82,0.575,0.000135,0.109,0.0408,123.765,0.964,208947,-9.144,24
7LRMbd3LEoV5wZJvXT1Lwb,0.153,0.754,0.759,0.000108,0.101,0.302,126.366,0.435,214667,-5.218,14
7pKfPomDEeI4TPT6EOYjn9,0.907,0.547,0.257,0.183,0.0935,0.0252,75.752,0.169,187867,-12.358,3
2eF8pWbiivYsYRpbntYsnc,0.0534,0.675,0.597,0.0,0.0986,0.0337,108.875,0.828,161160,-11.329,24
4IRHwIZHzlHT1FQpRa5RdE,0.446,0.559,0.473,0.00141,0.154,0.0279,121.227,0.397,192827,-7.712,37
2JoZzpdeP2G6Csfdq5aLXP,0.105,0.633,0.357,0.0,0.133,0.0264,104.938,0.674,245200,-9.366,34
5LxvwujISqiB8vpRYv887S,0.305,0.469,0.538,0.00012,0.37,0.0571,196.605,0.886,176333,-13.559,10
2TxCwUlqaOH3TIyJqGgR91,0.295,0.749,0.748,0.000443,0.469,0.0323,137.547,0.827,213267,-7.011,6
75FYqcxt1YEAtqDLrOeIJn,0.00916,0.826,0.49,4.41e-06,0.0415,0.0676,74.126,0.627,180267,-10.477,24
7rPzEczIS574IgPaiPieS3,0.0704,0.693,0.353,0.00113,0.503,0.0414,104.143,0.75,228587,-17.852,34
1JQ6Xm1JrvHfvAqhl5pwaA,0.112,0.589,0.384,2.8e-05,0.0596,0.0332,132.909,0.354,256427,-15.075,34
2TVxnKdb3tqe1nhQWwwZCO,0.382,0.414,0.428,0.000243,0.148,0.0278,145.075,0.282,377093,-11.097,40
1oYYd2gnWZYrt89EBXdFiO,0.0338,0.577,0.808,1.33e-05,0.221,0.039,151.008,0.869,290280,-7.04,0
4a5pNRjwmzYQuEY1E7O6pj,0.425,0.532,0.663,1.07e-06,0.0734,0.0292,75.14,0.756,159347,-5.886,16
1i6N76fftMZhijOzFQ5ZtL,0.0708,0.721,0.521,0.00545,0.127,0.0613,123.118,0.942,261413,-8.123,24
3mRM4NM8iO7UBqrSigCQFH,0.0322,0.703,0.826,0.00629,0.179,0.0341,103.564,0.945,285373,-7.179,0
7Ar4G7Ci11gpt6sfH9Cgz5,0.221,0.645,0.598,3.53e-06,0.0721,0.0335,105.929,0.913,227267,-13.18,24
1fDsrQ23eTAVFElUMaf38X,0.699,0.531,0.481,0.0,0.0842,0.06,138.45,0.491,516893,-11.709,25
5QTxFnGygVM4jFQiBovmRo,0.0029,0.333,0.927,0.000208,0.297,0.0733,141.466,0.385,308120,-8.55,21
1bp2IO61zbQrbWNmKKxg3f,0.365,0.596,0.448,5.3e-06,0.206,0.0396,83.293,0.796,264504,-9.616,34
0KMGxYKeUzK9wc5DZCt3HT,0.0197,0.434,0.563,0.000824,0.128,0.0268,104.183,0.275,235373,-6.784,2
6XUHsYE38CEbYunT983O9G,0.0694,0.531,0.818,0.0096,0.263,0.0452,90.767,0.471,248173,-5.358,9
6ztstiyZL6FXzh4aG46ZPD,0.0843,0.802,0.756,0.00765,0.0521,0.0349,131.715,0.963,288293,-10.791,0
3qiyyUfYe7CRYLucrPmulD,0.313,0.489,0.724,0.185,0.287,0.0352,117.292,0.15,300400,-8.367,2
70C4NyhjD5OZUMzvWZ3njJ,0.605,0.331,0.55,3.96e-06,0.192,0.0272,177.734,0.429,339000,-6.483,40
7GVUmCP00eSsqc4tzj1sDD,0.172,0.731,0.804,0.00028,0.0685,0.0473,107.383,0.957,205933,-7.621,41
2DnJjbjNTV9Nd5NOa1KGba,0.157,0.659,0.678,6.69e-06,0.0784,0.0313,106.186,0.647,258411,-8.18,16
4bEb3KE4mSKlTFjtWJQBqO,0.0393,0.671,0.71,1.12e-05,0.0387,0.0356,118.745,0.834,193347,-7.724,0
7oOOI85fVQvVnK5ynNMdW7,0.179,0.808,0.535,9.91e-05,0.158,0.0353,114.031,0.848,220627,-12.521,24
63xdwScd1Ai1GigAwQxE8y,0.582,0.756,0.401,0.011,0.0541,0.0526,101.954,0.514,199396,-10.702,37
4JfuiOWlWCkjP6OKurHjSn,0.0115,0.653,0.73,1.02e-05,0.0776,0.0429,108.709,0.894,220311,-10.613,0
6JRLFiX9NJSoRRKxowlBYr,0.11,0.776,0.559,0.0,0.0671,0.103,122.242,0.758,232200,-8.375,24
70YvYr2hGlS01bKRIho1HM,0.00249,0.545,0.64,0.0304,0.196,0.224,80.544,0.606,230480,-9.937,42
77oU2rjC5XbjQfNe3bD6so,0.39,0.783,0.878,0.000778,0.0426,0.0308,100.626,0.885,265173,-3.864,41
6KTv0Z8BmVqM7DPxbGzpVC,0.0468,0.654,0.929,0.0,0.0539,0.0998,144.774,0.902,168840,-5.906,29
5BckPAYcKEJuYs1eV1BHHe,0.163,0.684,0.675,0.0,0.242,0.0257,107.064,0.924,243933,-8.123,0
5IMtdHjJ1OtkxbGe4zfUxQ,0.467,0.836,0.509,4.1e-06,0.0436,0.0548,138.714,0.949,276493,-13.668,24
6mHOcVtsHLMuesJkswc0GZ,0.512,0.625,0.758,0.00022,0.153,0.0463,119.719,0.695,251253,-6.213,35
73TxYZd0lBCVRrHawrAglA,0.00298,0.379,0.76,0.0296,0.104,0.0378,99.436,0.491,274088,-10.961,2
6Dk5fHTvH897XrVzCO64Mx,0.462,0.642,0.396,0.000823,0.106,0.0642,84.082,0.797,286493,-16.843,34
5EOoMWIB9iK4ZpcSex9Ec7,0.206,0.714,0.937,0.0,0.0731,0.0399,124.13,0.964,194147,-2.947,41
476V2d6iA2tWXgQboKmTtA,0.541,0.495,0.326,8.85e-05,0.0996,0.0365,136.243,0.371,221120,-12.29,32
46eu3SBuFCXWsPT39Yg3tJ,0.126,0.878,0.821,0.0461,0.183,0.089,118.881,0.947,365467,-9.875,0
4KfSdst7rW39C0sfhArdrz,0.015,0.548,0.691,0.106,0.144,0.0369,137.145,0.667,261933,-13.553,0
