cluster,acousticness,danceability,energy,instrumentalness,liveness,speechiness,tempo,valence,duration_ms,loudness,mode,time_signature
0,0.09,0.44,0.81,0.08,0.19,0.09,168.08,0.48,233366.5,-6.0,0.75,4.0
1,0.18,0.78,0.67,0.03,0.13,0.09,109.01,0.7,217858.59,-6.88,0.0,4.0
2,0.24,0.74,0.63,0.01,0.16,0.34,123.0,0.55,193973.27,-7.54,0.0,3.99
3,0.79,0.3,0.19,0.79,0.13,0.04,102.82,0.15,237038.01,-19.28,0.62,3.77
4,0.07,0.67,0.84,0.07,0.19,0.07,133.78,0.72,219188.26,-5.82,0.0,4.0
5,0.18,0.63,0.75,0.08,0.67,0.12,120.02,0.59,236101.13,-6.85,0.61,3.99
6,0.11,0.57,0.71,0.05,0.18,0.06,114.36,0.32,240857.68,-6.71,0.0,4.0
7,0.74,0.55,0.34,0.07,0.15,0.06,114.12,0.37,225217.45,-12.24,0.65,4.02
8,0.07,0.67,0.69,0.79,0.14,0.06,122.34,0.36,329355.41,-9.24,0.51,3.99
9,0.1,0.58,0.7,0.05,0.18,0.06,110.44,0.33,242402.59,-6.64,1.0,4.0
10,0.25,0.74,0.57,0.05,0.13,0.07,113.95,0.71,227198.21,-9.65,0.99,4.0
11,0.21,0.76,0.64,0.01,0.17,0.33,124.26,0.55,198708.73,-7.3,1.0,3.99
12,0.5,0.4,0.37,0.32,0.17,0.1,106.02,0.33,211915.34,-14.28,0.48,0.97
13,0.09,0.71,0.84,0.06,0.16,0.07,121.07,0.74,212422.25,-5.3,1.0,4.0
14,0.38,0.48,0.55,0.14,0.19,0.09,129.59,0.38,232401.5,-8.73,0.66,3.0
15,0.83,0.26,0.16,0.67,0.13,0.05,109.15,0.13,832834.2,-20.04,0.57,3.74
16,0.21,0.6,0.68,0.02,0.19,0.31,120.87,0.55,203466.56,-6.71,0.5,5.0
