cluster,acousticness,danceability,energy,instrumentalness,liveness,speechiness,tempo,valence,duration_ms,loudness,mode,time_signature
0,0.03,0.41,0.87,0.04,0.2,0.09,141.29,0.39,242473.37,-5.39,1.0,3.94
1,0.04,0.49,0.85,0.04,0.19,0.08,132.04,0.38,244000.25,-5.65,0.0,3.98
2,0.6,0.55,0.51,0.76,0.16,0.05,114.65,0.37,230644.01,-11.63,1.0,3.93
3,0.08,0.67,0.49,0.79,0.13,0.06,117.91,0.26,339394.27,-11.87,1.0,3.94
4,0.08,0.73,0.73,0.72,0.15,0.07,124.63,0.66,289596.53,-8.43,0.0,3.98
5,0.52,0.7,0.63,0.01,0.16,0.13,119.93,0.72,212518.38,-7.95,1.0,3.97
6,0.06,0.61,0.71,0.79,0.16,0.06,124.09,0.21,322556.86,-9.08,0.0,3.92
7,0.08,0.71,0.82,0.02,0.16,0.09,122.61,0.82,222974.57,-5.99,0.0,4.0
8,0.12,0.77,0.57,0.01,0.17,0.26,124.02,0.36,206488.83,-7.76,1.0,4.04
9,0.23,0.73,0.61,0.01,0.15,0.39,131.22,0.56,190648.64,-7.69,0.0,4.06
10,0.09,0.68,0.85,0.02,0.17,0.08,128.3,0.83,213594.63,-5.75,1.0,3.98
11,0.75,0.53,0.34,0.03,0.18,0.07,114.04,0.29,230768.55,-11.9,0.0,3.81
12,0.8,0.34,0.24,0.84,0.13,0.05,111.27,0.17,288388.81,-17.3,0.0,3.75
13,0.78,0.52,0.31,0.02,0.18,0.08,113.81,0.34,228405.15,-12.45,1.0,3.79
14,0.06,0.72,0.79,0.71,0.16,0.07,125.3,0.72,262726.95,-7.95,1.0,3.99
15,0.12,0.78,0.6,0.02,0.13,0.13,114.79,0.75,219070.88,-8.29,1.0,4.0
16,0.04,0.56,0.84,0.77,0.18,0.06,125.48,0.25,276438.49,-7.28,1.0,3.97
17,0.17,0.65,0.58,0.02,0.17,0.11,120.56,0.27,226010.47,-7.8,0.0,3.99
18,0.09,0.76,0.66,0.02,0.14,0.11,112.5,0.6,218299.49,-6.91,0.0,3.98
19,0.53,0.7,0.61,0.02,0.17,0.13,118.27,0.72,210315.18,-7.74,0.0,3.98
20,0.88,0.26,0.13,0.82,0.12,0.04,104.11,0.12,336797.1,-21.02,1.0,3.64
21,0.15,0.62,0.79,0.02,0.65,0.14,121.25,0.63,232211.01,-6.59,1.0,4.0
22,0.07,0.67,0.79,0.02,0.17,0.09,117.0,0.52,225091.02,-5.78,1.0,4.0
23,0.12,0.67,0.77,0.02,0.63,0.15,119.92,0.63,220467.62,-5.91,0.0,4.01
24,0.2,0.55,0.56,0.02,0.16,0.05,118.31,0.27,250891.12,-8.27,1.0,3.91
