cluster,acousticness,danceability,energy,instrumentalness,liveness,speechiness,tempo,valence,duration_ms,loudness,mode,time_signature
0,0.06,0.64,0.81,0.02,0.17,0.07,120.01,0.57,226899.5,-5.92,0.0,4.0
1,0.12,0.78,0.59,0.02,0.13,0.13,114.87,0.75,219312.02,-8.35,1.0,4.0
2,0.07,0.67,0.79,0.02,0.17,0.09,116.73,0.52,224821.55,-5.79,1.0,4.0
3,0.5,0.53,0.43,0.79,0.16,0.05,112.05,0.32,250733.55,-13.23,1.0,3.9
4,0.08,0.73,0.72,0.71,0.15,0.07,124.47,0.66,289723.25,-8.46,0.0,3.98
5,0.2,0.55,0.56,0.03,0.16,0.05,118.26,0.27,252447.8,-8.29,1.0,3.92
6,0.74,0.52,0.34,0.02,0.16,0.07,113.88,0.28,229870.66,-11.8,0.0,3.82
7,0.05,0.62,0.72,0.78,0.16,0.06,122.46,0.24,303083.09,-8.78,1.0,3.96
8,0.14,0.79,0.6,0.01,0.14,0.26,118.73,0.62,203396.54,-7.58,0.0,4.01
9,0.17,0.68,0.57,0.02,0.17,0.13,120.23,0.3,222134.49,-7.82,0.0,3.99
10,0.8,0.34,0.24,0.84,0.13,0.05,111.27,0.17,288388.81,-17.3,0.0,3.75
11,0.03,0.42,0.87,0.05,0.21,0.09,141.24,0.39,242512.4,-5.39,1.0,3.95
12,0.04,0.44,0.83,0.05,0.2,0.09,135.13,0.29,249024.15,-5.81,0.0,3.96
13,0.78,0.52,0.31,0.02,0.18,0.08,114.0,0.34,229415.8,-12.53,1.0,3.79
14,0.06,0.61,0.71,0.79,0.16,0.06,124.18,0.21,322833.5,-9.06,0.0,3.92
15,0.52,0.7,0.63,0.01,0.17,0.13,120.05,0.71,212177.92,-7.96,1.0,3.97
16,0.09,0.68,0.85,0.02,0.17,0.08,128.09,0.83,213593.23,-5.76,1.0,3.98
17,0.12,0.77,0.57,0.01,0.17,0.26,123.82,0.36,206351.27,-7.76,1.0,4.04
18,0.9,0.26,0.13,0.82,0.12,0.04,103.65,0.12,338479.67,-20.98,1.0,3.62
19,0.1,0.74,0.78,0.02,0.16,0.08,120.79,0.84,221829.29,-6.15,0.0,4.0
20,0.15,0.62,0.79,0.02,0.65,0.14,121.14,0.63,232059.96,-6.59,1.0,4.0
21,0.06,0.71,0.78,0.71,0.16,0.07,126.53,0.7,264462.2,-7.97,1.0,3.99
22,0.54,0.7,0.6,0.02,0.17,0.16,121.43,0.69,207465.78,-7.83,0.0,3.98
23,0.14,0.67,0.76,0.02,0.64,0.15,120.63,0.63,222640.17,-6.08,0.0,4.0
